name,year chartered,original name,year established,campus,category,lon,lat,address,north,south,east,west
University of Nairobi,1970,"Royal Technical College, Royal College Nairobi",1956,"Main campus, Kikuyu campus, Chiromo campus, Lower Kabete campus, Upper Kabete campus, Parklands campus, Kenya Science Campus, Kisumu campus, Mombasa campus",public,36.8159447,-1.2794987,"university way, nairobi, kenya",-1.2781497197084981,-1.280847680291502,36.81729368029149,36.8145957197085
Moi University,1984,Moi University,1984,"Odera Akang'o Yala Campus, Mombasa Campus, Kericho Campus, Nairobi Campus,Alupe Campus.",public,35.2843657,0.5111631,"eldoret, kenya",0.512512080291502,0.5098141197084979,35.28571468029149,35.28301671970849
Kenyatta University,1985,Kenyatta University College,1965,"Main campus, Parklands campus, Ruiru campus, City campus, Kitui campus, Mombasa campus, Nakuru campus.",public,36.9312599,-1.1803952,"mfangano island kakamega centre suba north, nairobi, kenya",-1.179046219708498,-1.181744180291502,36.9326088802915,36.9299109197085
Egerton University,1988,"Egerton Farm School, Egerton Agricultural College",1939,NA,public,35.9335101,-0.3724527,"biashara kilimo road egerton university, njoro, kenya",-0.371103719708498,-0.3738016802915021,35.9348590802915,35.9321611197085
Maseno University,1991,"Maseno Govt. Training Institute, Siriba Teachers College",1955,Oginga Odinga University,public,34.59738,-0.006416,"kondele kisumu-busia rd maseno, kisumu, kenya",-0.005067019708497969,-0.0077649802915020294,34.5987289802915,34.59603101970851
Jomo Kenyatta University of Agriculture and Technology,1994,Jomo Kenyatta College of Agriculture,1981,"Multimedia University College of Kenya, Meru University College of Science and Technology, Murang'a University College[7]",public,37.0116546,-1.0913925,"juja kwale, rd, juja, kenya",-1.090043519708498,-1.092741480291502,37.0130035802915,37.0103056197085
Technical University of Mombasa,2007,Mombasa Institute of Muslim Education (MIOME),1948,,public,39.6684099,-4.0375477,"tom mboya street, mombasa, kenya",-4.036198719708498,-4.038896680291503,39.669758880291504,39.6670609197085
Masinde Muliro University of Science and Technology,2007,Western College of Arts and Applied Sciences,1972,,public,34.779603,0.5992059,"kakamega webuye, webuye, kenya",0.600554880291502,0.5978569197084979,34.7809519802915,34.7782540197085
Dedan Kimathi University of Technology,2012,"Kimathi Institute of Technology, Kimathi University College of Technology (2007) as a constituent college of Jomo Kenyatta University of Agriculture and Technology",1972,"Main Campus, Nyeri",public,36.964567,-0.3948970000000001,"kiganjo/mathari, b 5, nyeri, kenya",-0.393548019708498,-0.3962459802915021,36.9659159802915,36.9632180197085
Chuka University,2012,"Chuka University College, Chuka University College (2004) as a constituent college of Egerton University",2004,"Main Campus, Chuka",public,37.657227,-0.319144,"chuka university premises,nairobi - meru higway,mariani, chuka, kenya",-0.3177950197084979,-0.320492980291502,37.6585759802915,37.6558780197085
